Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V)
564.8520,-0.1855,-0.4283

565.8520,-0.2040,-0.4489

566.8520,-0.1994,-0.4438

567.8520,-0.1994,-0.4438

568.8530,-0.2179,-0.4644

569.8530,-0.2179,-0.4644

570.8520,-0.1809,-0.4232

571.8520,-0.1948,-0.4386

572.8520,-0.2226,-0.4695

573.8530,-0.1948,-0.4386

574.8520,-0.1994,-0.4438

575.8520,-0.2179,-0.4644

576.8520,-0.1948,-0.4386

577.8520,-0.2087,-0.4541

578.8520,-0.2040,-0.4489

579.8530,-0.2087,-0.4541

580.8520,-0.1994,-0.4438

581.8540,-0.2272,-0.4747

582.8530,-0.2226,-0.4695

583.8520,-0.2318,-0.4798

584.8520,-0.1948,-0.4386

585.8520,-0.1901,-0.4335

586.8520,-0.1994,-0.4438

587.8530,-0.2828,-0.5364

588.8520,-0.2040,-0.4489

589.8520,-0.2040,-0.4489

590.8520,-0.2087,-0.4541

591.8530,-0.1809,-0.4232

592.8530,-0.1948,-0.4386

593.8530,-0.2087,-0.4541

594.8520,-0.2087,-0.4541

595.8520,-0.2040,-0.4489

596.8530,-0.1855,-0.4283

597.8520,-0.1948,-0.4386

598.8520,-0.1948,-0.4386

599.8520,-0.1994,-0.4438

600.8520,-0.2133,-0.4592

601.8520,-0.1901,-0.4335

602.8530,-0.1948,-0.4386

603.8530,-0.1855,-0.4283

604.8520,-0.1901,-0.4335

605.8520,-0.1716,-0.4129

606.8520,-0.1948,-0.4386

607.8520,-0.1948,-0.4386

608.8530,-0.2133,-0.4592

609.8520,-0.2040,-0.4489

610.8520,-0.1994,-0.4438

611.8520,-0.1994,-0.4438

612.8530,-0.1948,-0.4386

613.8520,-0.1855,-0.4283

614.8520,-0.1948,-0.4386

615.8520,-0.1855,-0.4283

616.8520,-0.1948,-0.4386

617.8530,-0.2226,-0.4695

618.8530,-0.1994,-0.4438

619.8520,-0.1948,-0.4386

620.8520,-0.2087,-0.4541

621.8520,-0.1901,-0.4335

622.8520,-0.1763,-0.4181

623.8520,-0.3013,-0.5570

624.8520,-0.1948,-0.4386

625.8520,-0.1809,-0.4232

626.8520,-0.2087,-0.4541

627.8520,-0.2040,-0.4489

628.8520,-0.1809,-0.4232

629.8520,-0.1948,-0.4386

630.8520,-0.2040,-0.4489

631.8530,-0.1994,-0.4438

632.8520,-0.2133,-0.4592

633.8520,-0.2040,-0.4489

634.8520,-0.2087,-0.4541

635.8520,-0.2040,-0.4489

636.8520,-0.2040,-0.4489

637.8520,-0.2087,-0.4541

638.8530,-0.1994,-0.4438

639.8520,-0.2226,-0.4695

640.8520,-0.1763,-0.4181

641.8520,-0.2133,-0.4592

642.8520,-0.1994,-0.4438

643.8530,-0.2179,-0.4644

644.8520,-0.1763,-0.4181

645.8530,-0.1901,-0.4335

646.8520,-0.2133,-0.4592

647.8530,-0.2226,-0.4695

648.8520,-0.1948,-0.4386

649.8540,-0.1855,-0.4283

650.8520,-0.2087,-0.4541

651.8530,-0.2087,-0.4541

652.8530,-0.2087,-0.4541

653.8520,-0.2040,-0.4489

654.8520,-0.1207,-0.3563

655.8520,-0.1994,-0.4438

656.8520,-0.2040,-0.4489

657.8520,-0.2179,-0.4644

658.8520,-0.1855,-0.4283

659.8530,-0.1994,-0.4438

660.8520,-0.2179,-0.4644

661.8530,-0.1809,-0.4232

662.8530,-0.2179,-0.4644

663.8520,-0.1299,-0.3666

664.8520,-0.2087,-0.4541

665.8530,-0.1855,-0.4283

666.8520,-0.2040,-0.4489

667.8520,-0.1948,-0.4386

668.8520,-0.1901,-0.4335

669.8530,-0.2272,-0.4747

670.8530,-0.2087,-0.4541

671.8520,-0.2179,-0.4644

672.8520,-0.1948,-0.4386

673.8520,-0.1948,-0.4386

674.8530,-0.1855,-0.4283

675.8520,-0.2133,-0.4592

676.8520,-0.1901,-0.4335

677.8530,-0.2133,-0.4592

678.8520,-0.1901,-0.4335

679.8530,-0.2087,-0.4541

680.8520,-0.1994,-0.4438

681.8530,-0.2272,-0.4747

682.8520,-0.2087,-0.4541

683.8520,-0.1948,-0.4386

684.8520,-0.2226,-0.4695

685.8520,-0.1994,-0.4438

686.8530,-0.1994,-0.4438

687.8520,-0.1948,-0.4386

688.8530,-0.2179,-0.4644

689.8520,-0.1901,-0.4335

690.8520,-0.2087,-0.4541

691.8530,-0.1855,-0.4283

692.8520,-0.2133,-0.4592

693.8520,-0.2040,-0.4489

694.8520,-0.1948,-0.4386

695.8530,-0.2040,-0.4489

696.8520,-0.1994,-0.4438

697.8520,-0.2040,-0.4489

698.8520,-0.2040,-0.4489

699.8520,-0.1994,-0.4438

700.8520,-0.1901,-0.4335

701.8520,-0.1716,-0.4129

702.8520,-0.2040,-0.4489

703.8520,-0.1299,-0.3666

704.8520,-0.1994,-0.4438

705.8530,-0.1855,-0.4283

706.8530,-0.1624,-0.4026

707.8530,-0.1763,-0.4181

708.8520,-0.1809,-0.4232

709.8520,-0.1901,-0.4335

710.8520,-0.1901,-0.4335

711.8520,-0.1716,-0.4129

712.8530,-0.1901,-0.4335

713.8520,-0.3105,-0.5673

714.8520,-0.1855,-0.4283

715.8530,-0.1901,-0.4335

716.8520,-0.2040,-0.4489

717.8520,-0.2040,-0.4489

718.8530,-0.1855,-0.4283

719.8520,-0.1948,-0.4386

720.8530,-0.2735,-0.5261

721.8530,-0.1763,-0.4181

722.8520,-0.1716,-0.4129

723.8520,-0.1994,-0.4438

724.8520,-0.1994,-0.4438

725.8520,-0.1994,-0.4438

726.8520,-0.2087,-0.4541

727.8520,-0.1948,-0.4386

728.8520,-0.1948,-0.4386

729.8520,-0.1763,-0.4181

730.8520,-0.1994,-0.4438

731.8520,-0.1392,-0.3769

732.8530,-0.1901,-0.4335

733.8520,-0.1670,-0.4078

734.8530,-0.1901,-0.4335

735.8520,-0.2087,-0.4541

736.8520,-0.2040,-0.4489

737.8530,-0.2040,-0.4489

738.8520,-0.1901,-0.4335

739.8520,-0.1948,-0.4386

740.8530,-0.1901,-0.4335

741.8520,-0.2040,-0.4489

742.8520,-0.2040,-0.4489

743.8520,-0.1809,-0.4232

744.8540,-0.1994,-0.4438

745.8520,-0.1994,-0.4438

746.8530,-0.1948,-0.4386

747.8520,-0.1948,-0.4386

748.8520,-0.1438,-0.3820

749.8530,-0.1994,-0.4438

750.8530,-0.1670,-0.4078

751.8530,-0.1716,-0.4129

752.8520,-0.1855,-0.4283

753.8530,-0.1577,-0.3975

754.8520,-0.1901,-0.4335

755.8530,-0.1948,-0.4386

756.8520,-0.0697,-0.2997

757.8530,-0.2133,-0.4592

758.8520,-0.1901,-0.4335

759.8530,-0.1901,-0.4335

760.8520,-0.2087,-0.4541

761.8520,-0.1901,-0.4335

762.8520,-0.1438,-0.3820

763.8520,-0.2087,-0.4541

764.8520,-0.1994,-0.4438

765.8530,-0.1855,-0.4283

766.8520,-0.1901,-0.4335

767.8530,-0.1855,-0.4283

768.8520,-0.1809,-0.4232

769.8520,-0.1855,-0.4283

770.8520,-0.2133,-0.4592

771.8530,-0.2040,-0.4489

772.8520,-0.2179,-0.4644

773.8530,-0.1901,-0.4335

774.8520,-0.1948,-0.4386

775.8520,-0.1948,-0.4386

776.8520,-0.4356,-0.7062

777.8520,-0.1948,-0.4386

778.8520,-0.1855,-0.4283

779.8530,-0.2040,-0.4489

780.8520,-0.1948,-0.4386

781.8520,-0.1948,-0.4386

782.8520,-0.2087,-0.4541

783.8520,-0.1577,-0.3975

784.8520,-0.2087,-0.4541

785.8520,-0.1716,-0.4129

786.8530,-0.1901,-0.4335

787.8520,-0.1901,-0.4335

788.8520,-0.2087,-0.4541

789.8530,-0.2226,-0.4695

790.8520,-0.1901,-0.4335

791.8530,-0.1901,-0.4335

792.8520,-0.1994,-0.4438

793.8520,-0.1994,-0.4438

794.8530,-0.1855,-0.4283

795.8520,-0.1855,-0.4283

796.8530,-0.1948,-0.4386

797.8530,-0.1948,-0.4386

798.8520,-0.1901,-0.4335

799.8520,-0.1994,-0.4438

800.8520,-0.1901,-0.4335

801.8530,-0.1948,-0.4386

802.8530,-0.1994,-0.4438

803.8520,-0.1716,-0.4129

804.8530,-0.1901,-0.4335

805.8530,-0.2411,-0.4901

806.8520,-0.1948,-0.4386

807.8520,-0.2040,-0.4489

808.8530,-0.2040,-0.4489

809.8530,-0.1948,-0.4386

810.8520,-0.2040,-0.4489

811.8530,-0.1901,-0.4335

812.8520,-0.1901,-0.4335

813.8530,-0.1624,-0.4026

814.8520,-0.2133,-0.4592

815.8520,-0.2133,-0.4592

816.8520,-0.1994,-0.4438

817.8530,-0.1901,-0.4335

818.8520,-0.1994,-0.4438

819.8520,-0.1948,-0.4386

820.8520,-0.1855,-0.4283

821.8530,-0.1994,-0.4438

